地区,指标,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
新疆维吾尔自治区,NumberOfLibraryInstitutions,107,107,107,107,107,106,105,103,103
北京市,DisposableIncomePerCapita,6236.122,5722.983,5253.038,4845.799,4448.857,4083.004,,,
天津市,DisposableIncomePerCapita,3950.615,3702.233,3407.446,3129.136,2883.229,2635.92,,,
河北省,DisposableIncomePerCapita,2344.565,2148.413,1972.542,1811.809,1664.74,1518.964,,,
山西省,DisposableIncomePerCapita,2199.014,2042.001,1904.888,1785.367,1653.832,1511.972,,,
内蒙古自治区,DisposableIncomePerCapita,2837.565,2621.223,2412.664,2231.009,2055.934,1869.289,,,
辽宁省,DisposableIncomePerCapita,2970.145,2783.544,2603.97,2457.558,2282.015,2081.784,,,
吉林省,DisposableIncomePerCapita,2279.837,2136.832,1996.699,1868.37,1752.039,1599.812,,,
黑龙江省,DisposableIncomePerCapita,2272.585,2120.579,1983.85,1859.265,1740.439,1590.345,,,
上海市,DisposableIncomePerCapita,6418.265,5898.796,5430.535,4986.717,4596.583,4217.364,,,
江苏省,DisposableIncomePerCapita,3809.579,3502.409,3207.01,2953.885,2717.277,2477.554,,,
浙江省,DisposableIncomePerCapita,4583.984,4204.569,3852.9,3553.709,3265.757,2977.499,,,
安徽省,DisposableIncomePerCapita,2398.358,2186.33,1999.81,1836.257,1679.552,1515.431,,,
福建省,DisposableIncomePerCapita,3264.393,3004.775,2760.793,2540.436,2333.085,2121.795,,,
江西省,DisposableIncomePerCapita,2407.968,2203.145,2010.956,1843.711,1673.417,1509.968,,,
山东省,DisposableIncomePerCapita,2920.461,2692.994,2468.527,2270.319,2086.421,1900.826,,,
河南省,DisposableIncomePerCapita,2196.354,2017.003,1844.308,1712.475,1569.518,1420.371,,,
湖北省,DisposableIncomePerCapita,2581.454,2375.717,2178.664,2002.556,1828.323,1647.246,,,
湖南省,DisposableIncomePerCapita,2524.075,2310.271,2111.479,1931.749,1762.174,1600.49,,,
广东省,DisposableIncomePerCapita,3580.99,3300.329,3029.58,2785.886,2568.496,2342.075,,,
广西壮族自治区,DisposableIncomePerCapita,2148.503,1990.476,1830.508,1687.342,1555.708,1408.23,,,
海南省,DisposableIncomePerCapita,2457.904,2255.324,2065.344,1897.897,1747.646,1573.328,,,
重庆市,DisposableIncomePerCapita,2638.584,2415.299,2203.414,2011.011,1835.19,1656.867,,,
四川省,DisposableIncomePerCapita,2246.055,2057.982,1880.826,1722.096,1574.901,1423.099,,,
贵州省,DisposableIncomePerCapita,1843.018,1670.365,1512.115,1369.661,1237.106,1108.306,,,
云南省,DisposableIncomePerCapita,2008.419,1834.834,1671.99,1522.257,1377.221,1257.787,,,
西藏自治区,DisposableIncomePerCapita,1728.606,1545.73,1363.924,1225.43,1073.022,974.043,,,
陕西省,DisposableIncomePerCapita,2252.826,2063.521,1887.374,1739.498,1583.675,1437.155,,,
甘肃省,DisposableIncomePerCapita,1748.839,1601.1,1467.031,1346.659,1218.471,1095.44,,,
青海省,DisposableIncomePerCapita,2075.726,1900.102,1730.176,1581.27,1437.398,1294.784,,,
宁夏回族自治区,DisposableIncomePerCapita,2240.042,2056.166,1883.228,1732.909,1590.678,1456.578,,,
新疆维吾尔自治区,DisposableIncomePerCapita,2150.024,1997.51,1835.465,1685.911,1509.662,1366.962,,,
